# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
    103   6.927345e+00   7.551909e-02   2.038775e+00   1.484357e-08   3.120457e-01
    104   7.000868e+00   7.703703e-02   2.018626e+00   1.510871e-08   3.120457e-01
    105   7.075124e+00   7.858549e-02   1.998684e+00   1.537881e-08   3.120457e-01
    106   7.150122e+00   8.016508e-02   1.978947e+00   1.565397e-08   3.120457e-01
    107   7.225867e+00   8.177643e-02   1.959413e+00   1.593428e-08   3.120457e-01
    108   7.302368e+00   8.342016e-02   1.940081e+00   1.621985e-08   3.120457e-01
    109   7.379631e+00   8.509694e-02   1.920947e+00   1.651078e-08   3.120457e-01
    110   7.457663e+00   8.680742e-02   1.902012e+00   1.680716e-08   3.120457e-01
    111   7.536472e+00   8.855229e-02   1.883272e+00   1.710911e-08   3.120457e-01
    112   7.616066e+00   9.033224e-02   1.864727e+00   1.741672e-08   3.120456e-01
    113   7.696451e+00   9.214798e-02   1.846374e+00   1.773012e-08   3.120456e-01
# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.249458e+00   9.900990e-03   5.696668e+00   0.000000e+00   3.120460e-01
      1   2.259984e+00   9.980352e-03   5.673324e+00   6.919811e-11   3.120460e-01
      2   2.312826e+00   1.038344e-02   5.559028e+00   4.278875e-10   3.120460e-01
      3   2.366755e+00   1.080282e-02   5.447148e+00   7.637338e-10   3.120460e-01
      4   2.421792e+00   1.123914e-02   5.337626e+00   1.079432e-09   3.120460e-01
      5   2.477957e+00   1.169309e-02   5.230408e+00   1.377366e-09   3.120460e-01
      6   2.535275e+00   1.216537e-02   5.125439e+00   1.659708e-09   3.120460e-01
      7   2.593766e+00   1.265674e-02   5.022667e+00   1.928439e-09   3.120460e-01
      8   2.653454e+00   1.316796e-02   4.922040e+00   2.185371e-09   3.120460e-01
      9   2.714362e+00   1.369983e-02   4.823510e+00   2.432167e-09   3.120460e-01
     10   2.776514e+00   1.425319e-02   4.727029e+00   2.670353e-09   3.120460e-01
     11   2.839935e+00   1.482890e-02   4.632549e+00   2.901333e-09   3.120460e-01
     12   2.904649e+00   1.542787e-02   4.540025e+00   3.126399e-09   3.120460e-01
     13   2.970683e+00   1.605105e-02   4.449413e+00   3.346746e-09   3.120460e-01
     14   3.038061e+00   1.669939e-02   4.360670e+00   3.563481e-09   3.120460e-01
     15   3.106810e+00   1.737393e-02   4.273754e+00   3.777630e-09   3.120460e-01
     16   3.176957e+00   1.807573e-02   4.188625e+00   3.990150e-09   3.120460e-01
     17   3.248530e+00   1.880587e-02   4.105242e+00   4.201933e-09   3.120460e-01
     18   3.321557e+00   1.956551e-02   4.023568e+00   4.413817e-09   3.120460e-01
     19   3.396066e+00   2.035584e-02   3.943565e+00   4.626588e-09   3.120460e-01
     20   3.472087e+00   2.117811e-02   3.865195e+00   4.840990e-09   3.120460e-01
     21   3.549649e+00   2.203359e-02   3.788424e+00   5.057728e-09   3.120460e-01
     22   3.628782e+00   2.292363e-02   3.713217e+00   5.277474e-09   3.120459e-01
     23   3.709519e+00   2.384963e-02   3.639540e+00   5.500870e-09   3.120459e-01
     24   3.791890e+00   2.481304e-02   3.567360e+00   5.728535e-09   3.120459e-01
     25   3.875928e+00   2.581538e-02   3.496645e+00   5.961066e-09   3.120459e-01
     26   3.961665e+00   2.685820e-02   3.427364e+00   6.199042e-09   3.120459e-01
     27   4.049135e+00   2.794316e-02   3.359485e+00   6.443028e-09   3.120459e-01
     28   4.138373e+00   2.907196e-02   3.292980e+00   6.693580e-09   3.120459e-01
     29   4.229413e+00   3.024635e-02   3.227819e+00   6.951242e-09   3.120459e-01
     30   4.322290e+00   3.146819e-02   3.163974e+00   7.216555e-09   3.120459e-01
     31   4.417042e+00   3.273940e-02   3.101417e+00   7.490056e-09   3.120459e-01
     32   4.513705e+00   3.406196e-02   3.040122e+00   7.772281e-09   3.120459e-01
     33   4.612317e+00   3.543796e-02   2.980061e+00   8.063765e-09   3.120459e-01
     34   4.712917e+00   3.686955e-02   2.921210e+00   8.365050e-09   3.120459e-01
     35   4.815543e+00   3.835897e-02   2.863544e+00   8.676679e-09   3.120459e-01
     36   4.920236e+00   3.990857e-02   2.807037e+00   8.999205e-09   3.120459e-01
     37   5.027036e+00   4.152078e-02   2.751667e+00   9.333187e-09   3.120458e-01
     38   5.135985e+00   4.319812e-02   2.697410e+00   9.679196e-09   3.120458e-01
     39   5.247126e+00   4.494323e-02   2.644243e+00   1.003781e-08   3.120458e-01
     40   5.360502e+00   4.675885e-02   2.592145e+00   1.040964e-08   3.120458e-01
     41   5.476156e+00   4.864782e-02   2.541094e+00   1.079528e-08   3.120458e-01
     42   5.594134e+00   5.061311e-02   2.491068e+00   1.119536e-08   3.120458e-01
